previous_score,current_score,avg_time_per_item,scratchpad_usage,absences,risk_level
64,33,11,0,5,High
78,91,32,5,0,Low
41,53,6,0,9,High
89,85,47,4,1,Low
83,88,65,3,1,Low
89,98,57,4,2,Low
33,23,173,1,7,High
82,73,48,1,5,Moderate
100,87,32,4,1,Low
41,57,13,0,8,High
62,68,86,3,5,Moderate
75,86,37,3,1,Low
57,47,176,0,10,High
67,70,32,3,4,Moderate
85,96,45,3,0,Low
80,66,77,1,4,Moderate
46,30,6,1,8,High
75,96,64,4,2,Low
81,67,55,3,3,Moderate
99,90,34,5,1,Low
88,92,52,4,1,Low
69,71,56,1,5,Moderate
34,54,14,0,8,High
48,57,157,0,4,High
63,45,15,1,7,High
78,66,88,3,4,Moderate
77,88,52,4,2,Low
33,37,10,1,6,High
81,68,45,1,5,Moderate
52,48,5,1,10,High
77,99,49,5,2,Low
35,51,159,0,7,High
32,50,158,0,7,High
61,74,39,1,3,Moderate
49,40,9,0,7,High
95,88,31,4,2,Low
90,97,61,4,0,Low
90,82,70,3,1,Low
79,66,68,1,2,Moderate
80,94,57,3,1,Low
64,57,10,1,7,High
91,85,41,3,2,Low
60,69,25,2,5,Moderate
55,34,11,0,5,High
51,33,8,1,9,High
87,100,49,3,2,Low
60,45,6,0,5,High
35,56,153,1,7,High
84,66,59,3,3,Moderate
80,62,68,2,3,Moderate
61,68,83,3,2,Moderate
50,37,178,1,7,High
64,42,127,0,9,High
54,44,173,0,9,High
63,58,15,0,9,High
77,80,50,3,2,Low
80,98,50,3,1,Low
84,67,21,1,5,Moderate
95,95,44,3,2,Low
94,85,50,4,1,Low
72,72,27,1,5,Moderate
95,89,47,5,1,Low
53,25,12,0,5,High
80,64,87,3,5,Moderate
74,67,21,1,5,Moderate
89,98,60,4,1,Low
68,66,73,3,2,Moderate
89,94,41,5,2,Low
79,81,37,5,1,Low
75,66,20,1,5,Moderate
57,45,108,0,10,High
42,48,143,0,10,High
81,64,40,1,3,Moderate
83,69,23,1,2,Moderate
81,96,35,5,0,Low
60,29,152,1,10,High
90,83,48,4,2,Low
70,71,25,1,3,Moderate
55,52,154,0,10,High
62,44,119,1,10,High
75,70,56,3,2,Moderate
98,86,58,5,2,Low
78,97,63,3,1,Low
78,80,41,4,1,Low
32,48,11,0,5,High
72,62,61,1,2,Moderate
30,46,12,1,9,High
55,40,161,1,6,High
70,71,48,3,3,Moderate
61,73,64,2,5,Moderate
81,84,40,3,0,Low
76,93,39,4,2,Low
60,64,65,1,4,Moderate
75,80,60,4,2,Low
43,48,137,0,10,High
70,70,78,2,3,Moderate
67,63,83,2,3,Moderate
38,29,165,1,8,High
54,34,11,0,7,High
45,44,179,1,9,High
100,81,68,5,0,Low
72,65,44,3,5,Moderate
77,62,88,2,2,Moderate
68,66,71,1,3,Moderate
73,64,29,1,5,Moderate
77,68,83,2,3,Moderate
73,73,26,2,5,Moderate
78,73,64,2,3,Moderate
96,82,65,4,2,Low
82,60,79,2,3,Moderate
77,70,45,1,3,Moderate
78,63,56,1,3,Moderate
44,24,15,0,9,High
30,59,9,1,9,High
79,95,54,4,2,Low
95,99,62,4,0,Low
31,39,168,0,6,High
70,64,90,3,2,Moderate
84,64,46,2,3,Moderate
52,21,10,0,5,High
65,61,46,3,4,Moderate
75,91,36,5,1,Low
73,62,87,1,3,Moderate
61,65,69,3,2,Moderate
61,61,63,3,4,Moderate
77,69,20,3,5,Moderate
68,72,76,3,4,Moderate
36,57,177,1,8,High
52,56,104,1,5,High
39,34,103,1,10,High
42,31,163,0,5,High
40,30,142,0,10,High
77,98,32,3,2,Low
62,41,11,0,7,High
50,41,131,1,10,High
63,32,15,0,6,High
68,61,85,3,3,Moderate
59,27,174,0,4,High
80,85,67,3,1,Low
60,63,56,1,4,Moderate
66,60,82,1,4,Moderate
68,64,27,2,4,Moderate
77,60,28,1,5,Moderate
45,40,10,0,6,High
82,62,44,1,4,Moderate
74,74,60,1,5,Moderate
37,51,174,0,9,High
92,98,33,5,2,Low
64,69,66,1,3,Moderate
60,69,78,2,4,Moderate
35,43,130,0,10,High
46,51,11,0,9,High
77,62,77,2,3,Moderate
55,21,8,0,6,High
31,51,173,0,9,High
52,58,11,0,8,High
82,85,42,5,2,Low
77,90,57,4,1,Low
66,71,35,2,5,Moderate
61,27,8,1,10,High
60,45,113,0,9,High
92,98,36,4,2,Low
96,82,42,4,1,Low
57,33,15,1,7,High
66,65,80,2,5,Moderate
82,85,58,5,1,Low
66,62,55,3,2,Moderate
94,92,47,4,1,Low
83,61,20,3,2,Moderate
68,71,66,1,4,Moderate
94,80,62,4,2,Low
31,46,9,0,9,High
43,33,179,0,5,High
85,64,66,1,2,Moderate
91,98,57,5,0,Low
45,58,108,0,8,High
43,23,176,0,10,High
84,85,39,3,1,Low
71,72,75,2,3,Moderate
65,60,20,2,4,Moderate
69,64,83,2,5,Moderate
78,73,90,3,2,Moderate
84,69,56,2,5,Moderate
87,94,69,3,2,Low
53,54,143,0,7,High
68,68,36,1,4,Moderate
36,22,14,1,7,High
65,47,123,0,5,High
81,60,36,3,5,Moderate
86,81,57,4,0,Low
45,27,128,1,10,High
83,65,61,3,2,Moderate
